data;praca;categoria_1;categoria_2;categoria_3;categoria_4;categoria_5;categoria_6;categoria_7;categoria_8;categoria_88;categoria_9;veiculosDia;valorDia;Id
01/01/2016 00:00:00;PRAIA DO SOL;19922;205;44;60;7;15;4;6;242;1015;21520;152751,6000;27785
02/01/2016 00:00:00;PRAIA DO SOL;27519;336;82;129;4;16;5;8;237;1028;29364;211392,0000;27786
03/01/2016 00:00:00;PRAIA DO SOL;24759;250;94;109;2;13;2;3;198;759;26189;188593,2000;27787
04/01/2016 00:00:00;PRAIA DO SOL;15602;375;68;131;7;29;12;16;245;682;17167;125920,8000;27788
05/01/2016 00:00:00;PRAIA DO SOL;13507;410;60;157;2;32;20;19;260;691;15158;112258,8000;27789
06/01/2016 00:00:00;PRAIA DO SOL;13947;386;35;120;4;32;16;11;271;796;15618;113950,8000;27790
07/01/2016 00:00:00;PRAIA DO SOL;14590;446;47;143;4;32;20;15;319;878;16494;120654,0000;27791
08/01/2016 00:00:00;PRAIA DO SOL;19756;473;84;167;5;41;15;13;265;987;21806;159634,8000;27792
09/01/2016 00:00:00;PRAIA DO SOL;20592;293;76;124;5;27;4;3;237;935;22296;160570,8000;27793
10/01/2016 00:00:00;PRAIA DO SOL;24475;240;93;101;6;10;6;4;215;1030;26180;187369,2000;27794
11/01/2016 00:00:00;PRAIA DO SOL;16209;375;51;180;2;37;14;24;246;823;17961;132451,2000;27795
12/01/2016 00:00:00;PRAIA DO SOL;12489;435;35;140;1;42;20;14;256;637;14069;104738,4000;27796
13/01/2016 00:00:00;PRAIA DO SOL;12346;431;32;148;6;46;29;15;282;749;14084;104814,0000;27797
14/01/2016 00:00:00;PRAIA DO SOL;13553;500;60;150;3;42;26;17;308;774;15433;114811,2000;27798
15/01/2016 00:00:00;PRAIA DO SOL;18441;440;89;151;10;39;20;25;306;917;20438;149954,4000;27799
16/01/2016 00:00:00;PRAIA DO SOL;18470;307;157;99;6;16;3;9;240;721;20028;144900,0000;27800
17/01/2016 00:00:00;PRAIA DO SOL;19967;197;101;89;7;10;3;4;208;479;21065;152028,0000;27801
18/01/2016 00:00:00;PRAIA DO SOL;12811;356;35;145;2;42;19;11;246;404;14071;104986,8000;27802
19/01/2016 00:00:00;PRAIA DO SOL;10667;379;22;126;3;32;25;35;250;471;12010;90356,4000;27803
20/01/2016 00:00:00;PRAIA DO SOL;11422;421;33;139;2;44;40;26;277;320;12724;96764,4000;27804
21/01/2016 00:00:00;PRAIA DO SOL;11234;446;33;154;1;46;25;22;292;439;12692;95983,2000;27805
22/01/2016 00:00:00;PRAIA DO SOL;14430;447;46;130;3;30;26;25;299;570;16006;118814,4000;27806
23/01/2016 00:00:00;PRAIA DO SOL;15198;276;53;131;6;22;7;14;221;459;16387;120074,4000;27807
24/01/2016 00:00:00;PRAIA DO SOL;17216;225;58;104;7;12;10;7;245;652;18536;133524,0000;27808
25/01/2016 00:00:00;PRAIA DO SOL;11287;367;33;154;3;40;23;23;266;502;12698;95274,0000;27809
26/01/2016 00:00:00;PRAIA DO SOL;10139;392;33;134;5;40;20;28;270;619;11680;87566,4000;27810
27/01/2016 00:00:00;PRAIA DO SOL;10807;435;34;143;5;55;36;32;276;710;12533;95061,6000;27811
28/01/2016 00:00:00;PRAIA DO SOL;11449;432;35;148;6;48;16;22;296;906;13358;98766,0000;27812
29/01/2016 00:00:00;PRAIA DO SOL;15045;462;67;133;9;44;23;30;321;809;16943;125344,8000;27813
30/01/2016 00:00:00;PRAIA DO SOL;14669;306;92;116;12;13;4;11;246;830;16299;117698,4000;27814
31/01/2016 00:00:00;PRAIA DO SOL;15965;160;83;89;15;6;6;14;225;927;17490;124639,2000;27815
