data;praca;categoria_1;categoria_2;categoria_3;categoria_4;categoria_5;categoria_6;categoria_7;categoria_8;categoria_88;categoria_9;veiculosDia;valorDia;Id
01/01/2019 00:00:00;PRAIA DO SOL;22494;203;84;83;4;26;2;0;349;969;24214;214933,5000;31783
02/01/2019 00:00:00;PRAIA DO SOL;19908;389;79;153;6;37;10;17;400;910;21909;198274,5000;31784
03/01/2019 00:00:00;PRAIA DO SOL;16770;429;78;153;2;33;8;19;416;917;18825;170572,5000;31785
04/01/2019 00:00:00;PRAIA DO SOL;20235;444;80;158;2;52;9;20;482;944;22426;203094,0000;31786
05/01/2019 00:00:00;PRAIA DO SOL;21882;313;122;99;6;28;2;2;334;1029;23817;212863,5000;31787
06/01/2019 00:00:00;PRAIA DO SOL;25018;216;80;106;8;29;0;7;295;1255;27014;240205,5000;31788
07/01/2019 00:00:00;PRAIA DO SOL;15398;398;74;137;2;42;10;15;428;847;17351;157117,5000;31789
08/01/2019 00:00:00;PRAIA DO SOL;13083;392;35;148;2;44;9;18;474;811;15016;135945,0000;31790
09/01/2019 00:00:00;PRAIA DO SOL;13581;446;62;139;2;44;7;20;508;789;15598;141412,5000;31791
10/01/2019 00:00:00;PRAIA DO SOL;14830;481;55;156;2;49;13;19;481;800;16886;154255,5000;31792
11/01/2019 00:00:00;PRAIA DO SOL;19382;499;99;150;5;58;22;25;481;966;21687;197761,5000;31793
12/01/2019 00:00:00;PRAIA DO SOL;20735;321;68;137;7;31;5;11;362;1069;22746;203962,5000;31794
13/01/2019 00:00:00;PRAIA DO SOL;23767;308;87;95;3;25;3;3;299;1107;25697;229419,0000;31795
14/01/2019 00:00:00;PRAIA DO SOL;16452;398;62;168;3;46;17;22;476;791;18435;167872,5000;31796
15/01/2019 00:00:00;PRAIA DO SOL;13343;445;40;136;6;52;15;25;463;780;15305;139977,0000;31797
16/01/2019 00:00:00;PRAIA DO SOL;12913;457;72;146;4;61;20;23;461;871;15028;137794,5000;31798
17/01/2019 00:00:00;PRAIA DO SOL;13756;456;56;149;3;58;15;27;455;762;15737;144747,0000;31799
18/01/2019 00:00:00;PRAIA DO SOL;19318;538;84;160;6;60;12;27;526;900;21631;197451,0000;31800
19/01/2019 00:00:00;PRAIA DO SOL;20228;334;72;140;7;22;6;10;368;1071;22258;199417,5000;31801
20/01/2019 00:00:00;PRAIA DO SOL;24757;263;83;111;6;24;3;4;333;1091;26675;237951,0000;31802
21/01/2019 00:00:00;PRAIA DO SOL;15659;451;66;161;5;49;23;27;487;963;17891;162967,5000;31803
22/01/2019 00:00:00;PRAIA DO SOL;12138;457;62;143;2;49;9;28;483;730;14101;129267,0000;31804
23/01/2019 00:00:00;PRAIA DO SOL;12093;436;45;153;6;43;15;27;519;771;14108;128790,0000;31805
24/01/2019 00:00:00;PRAIA DO SOL;12442;457;55;159;2;54;18;27;484;773;14471;132923,0000;31806
25/01/2019 00:00:00;PRAIA DO SOL;17961;482;79;156;4;47;10;28;524;858;20149;182997,0000;31807
26/01/2019 00:00:00;PRAIA DO SOL;18717;309;63;115;2;42;7;11;420;938;20624;184504,5000;31808
27/01/2019 00:00:00;PRAIA DO SOL;21529;176;72;95;3;21;1;5;332;1118;23352;206559,0000;31809
28/01/2019 00:00:00;PRAIA DO SOL;13022;410;71;126;5;50;12;22;462;795;14975;136021,5000;31810
29/01/2019 00:00:00;PRAIA DO SOL;10601;386;38;139;4;55;13;21;483;755;12495;113782,5000;31811
30/01/2019 00:00:00;PRAIA DO SOL;10564;426;39;156;3;59;18;34;484;887;12670;116154,0000;31812
31/01/2019 00:00:00;PRAIA DO SOL;10921;436;39;133;2;48;17;24;451;769;12840;117486,0000;31813
01/02/2019 00:00:00;PRAIA DO SOL;13822;448;77;147;5;47;12;31;466;868;15923;144994,5000;31814
02/02/2019 00:00:00;PRAIA DO SOL;14180;233;68;87;2;37;2;17;297;911;15834;141237,0000;31815
03/02/2019 00:00:00;PRAIA DO SOL;16105;178;57;71;1;26;2;1;263;971;17675;156069,0000;31816
04/02/2019 00:00:00;PRAIA DO SOL;10065;405;45;122;8;43;11;20;374;779;11872;107959,5000;31817
05/02/2019 00:00:00;PRAIA DO SOL;8308;359;30;108;2;58;15;29;408;573;9890;91084,5000;31818
06/02/2019 00:00:00;PRAIA DO SOL;8494;406;36;134;3;52;16;36;350;666;10193;94968,0000;31819
07/02/2019 00:00:00;PRAIA DO SOL;8737;431;21;118;1;65;23;30;429;640;10495;97362,0000;31820
08/02/2019 00:00:00;PRAIA DO SOL;11139;450;44;125;3;64;15;37;409;746;13032;120375,0000;31821
09/02/2019 00:00:00;PRAIA DO SOL;11649;246;50;77;4;23;7;24;272;779;13131;117760,5000;31822
10/02/2019 00:00:00;PRAIA DO SOL;12476;210;40;65;10;17;2;4;246;831;13901;122850,0000;31823
11/02/2019 00:00:00;PRAIA DO SOL;9081;392;55;118;5;50;13;37;378;828;10957;100647,0000;31824
12/02/2019 00:00:00;PRAIA DO SOL;8526;446;26;105;4;37;17;29;351;794;10335;94761,0000;31825
13/02/2019 00:00:00;PRAIA DO SOL;8341;427;30;112;0;65;14;29;340;669;10027;93168,0000;31826
14/02/2019 00:00:00;PRAIA DO SOL;8660;430;40;136;2;46;9;32;392;640;10387;95922,0000;31827
15/02/2019 00:00:00;PRAIA DO SOL;11732;434;42;150;5;52;14;25;402;793;13649;124879,5000;31828
16/02/2019 00:00:00;PRAIA DO SOL;11911;199;64;90;7;28;10;11;282;820;13422;119376,0000;31829
17/02/2019 00:00:00;PRAIA DO SOL;11969;157;64;65;4;13;4;4;242;670;13192;116563,5000;31830
18/02/2019 00:00:00;PRAIA DO SOL;8824;374;35;121;2;51;18;22;363;776;10586;96606,0000;31831
19/02/2019 00:00:00;PRAIA DO SOL;8093;415;40;124;3;62;17;34;359;783;9930;91881,0000;31832
20/02/2019 00:00:00;PRAIA DO SOL;8186;405;40;123;6;55;19;31;358;623;9846;91611,0000;31833
21/02/2019 00:00:00;PRAIA DO SOL;8857;440;33;122;6;44;12;34;427;743;10718;97951,5000;31834
22/02/2019 00:00:00;PRAIA DO SOL;11008;459;42;129;8;53;21;36;441;858;13055;119632,5000;31835
23/02/2019 00:00:00;PRAIA DO SOL;11452;219;87;87;8;31;9;20;274;1069;13256;117450,0000;31836
24/02/2019 00:00:00;PRAIA DO SOL;12171;147;44;69;5;16;3;5;234;859;13553;119088,0000;31837
25/02/2019 00:00:00;PRAIA DO SOL;10053;458;43;128;8;46;22;41;381;781;11961;110673,0000;31838
26/02/2019 00:00:00;PRAIA DO SOL;8859;434;34;131;3;66;18;29;420;785;10779;98986,5000;31839
27/02/2019 00:00:00;PRAIA DO SOL;9373;470;59;139;1;44;16;29;379;796;11306;104143,5000;31840
28/02/2019 00:00:00;PRAIA DO SOL;10989;541;96;179;9;48;18;30;363;866;13139;121774,5000;31841
01/03/2019 00:00:00;PRAIA DO SOL;19989;532;173;199;5;47;23;26;385;981;22360;204871,5000;31842
02/03/2019 00:00:00;PRAIA DO SOL;19815;262;110;171;2;24;10;7;283;1044;21728;194854,5000;31843
03/03/2019 00:00:00;PRAIA DO SOL;16095;126;30;74;3;14;1;2;279;954;17578;154035,0000;31844
04/03/2019 00:00:00;PRAIA DO SOL;19696;237;39;69;0;17;2;6;300;1092;21458;189175,5000;31845
05/03/2019 00:00:00;PRAIA DO SOL;19715;198;79;85;5;19;1;0;263;953;21318;189013,5000;31846
06/03/2019 00:00:00;PRAIA DO SOL;20473;386;222;161;6;40;18;22;302;840;22470;205110,0000;31847
07/03/2019 00:00:00;PRAIA DO SOL;11420;413;53;153;12;49;21;28;380;786;13315;122278,5000;31848
