06/01/2016	13	0,01	18	1	4
06/01/2016	24	0,13	23	7	9
06/01/2016	38	0,15	27	2	3
06/01/2016	32	0,11	32	7	9
06/01/2016	1	0	8	1	3
06/01/2016	5	0	37	5	9
06/01/2016	45	0,02	6	2	8
06/01/2016	100	0,44	19	4	6
06/01/2016	550	0,61	21	1	7
06/01/2016	24	0,13	20	5	13
06/01/2016	5	0	19	6	7
06/01/2016	2	0	10	6	5
06/01/2016	9	0	3	3	9
06/01/2016	375	0,59	44	6	10
06/01/2016	300	0,57	37	2	11
06/01/2016	500	0,4	8	5	4
06/01/2016	425	0,63	29	2	11
06/01/2016	25	0,06	35	7	10
06/01/2016	50	0,37	24	6	4
06/01/2016	75	0,46	45	7	9
06/01/2016	5	0	24	5	8
06/01/2016	325	0,43	31	5	9
06/01/2016	425	0,56	49	1	2
06/01/2016	30	0,15	32	5	3
06/01/2016	28	0,15	43	7	13
06/01/2016	8	0	48	1	11
06/01/2016	250	0,54	12	5	10
06/01/2016	27	0,08	34	7	4
06/01/2016	35	0,08	43	7	11
06/01/2016	600	0,6	5	2	11
06/01/2016	8	0	35	5	1
06/01/2016	350	0,52	2	5	2
06/01/2016	15	0,04	6	5	3
06/01/2016	500	0,52	30	4	1
06/01/2016	250	0,59	11	4	5
06/01/2016	575	0,5	24	2	4
06/01/2016	200	0,52	43	7	13
06/01/2016	31	0,15	50	2	5
06/01/2016	27	0,13	5	4	5
06/01/2016	25	0,02	40	6	11
06/01/2016	500	0,46	39	6	14
06/01/2016	42	0,13	17	6	12
06/01/2016	9	0	16	1	2
06/01/2016	35	0,02	7	1	13
06/01/2016	24	0,06	32	1	12
06/01/2016	150	0,3	30	4	4
06/01/2016	425	0,56	20	1	12
06/01/2016	175	0,42	13	2	14
06/01/2016	225	0,47	24	7	10
06/01/2016	19	0,07	6	1	2
06/01/2016	1	0	18	4	7
06/01/2016	450	0,43	32	5	5
06/01/2016	9	0	49	4	2
06/01/2016	4	0	39	4	9
06/01/2016	8	0	50	7	2
06/01/2016	300	0,54	19	2	2
06/01/2016	150	0,25	7	3	6
06/01/2016	2	0	14	7	12
06/01/2016	17	0,09	41	6	4
06/01/2016	425	0,41	30	2	8
06/01/2016	48	0,15	16	1	10
06/01/2016	24	0,12	21	5	10
06/01/2016	575	0,59	40	6	11
06/01/2016	6	0	44	7	5
06/01/2016	4	0	45	7	6
06/01/2016	43	0,14	2	7	14
06/01/2016	550	0,52	11	4	3
06/01/2016	4	0	34	1	9
06/01/2016	400	0,41	27	4	4
06/01/2016	49	0,04	24	1	2
06/01/2016	4	0	32	7	8
06/01/2016	7	0	7	3	12
06/01/2016	33	0,08	4	3	8
06/01/2016	13	0,08	1	5	14
06/01/2016	37	0,04	39	5	1
06/01/2016	150	0,16	39	5	10
06/01/2016	350	0,56	41	5	6
06/01/2016	49	0,15	8	7	9
